index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17165,"Kippenberger, Martin",Event Poster S.O. 36,Lithograph on paper,1979,0.38,0.29,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-event-poster-so-36-p79075
17166,"Kippenberger, Martin",First Extraordinary Event in Pictures and Sound on the Theme of the Age: MISERY,Lithograph on paper,1979,0.6,0.418,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-first-extraordinary-event-in-pictures-and-sound-on-the-theme-of-the-age-p79077
17167,"Marien, Marcel",All Gum,Painted plaster,1979,0.45,0.243,Male,1920,2005,http://www.tate.org.uk/art/artworks/marien-all-gum-t12049
17168,"Knowles, Justin",Linear Forms: Diamonds,Vinyl tape and graphite on paper,1979,0.431,0.558,Male,1935,2006,http://www.tate.org.uk/art/artworks/knowles-linear-forms-diamonds-t12151
17169,"Knowles, Justin",WD.10.79,Vinyl tape and graphite on paper,1979,0.431,0.558,Male,1935,2006,http://www.tate.org.uk/art/artworks/knowles-wd1079-t12152
17170,"Stezaker, John",Insert,"Postcard on paper on photograph, black and white, on paper",1979,0.206,0.253,Male,1949,2007,http://www.tate.org.uk/art/artworks/stezaker-insert-t12343
17171,"Koller, J<fa>lius",Universal-Cultural Physical-Cultural Picture,Ink on paper,1979,0.16,0.114,Male,1939,2007,http://www.tate.org.uk/art/artworks/koller-universal-cultural-physical-cultural-picture-t12439
17172,"Mapplethorpe, Robert",Henry Geldzahler,"Photograph, gelatine silver print on paper",1979,0.341,0.341,Male,1946,2008,http://www.tate.org.uk/art/artworks/mapplethorpe-henry-geldzahler-ar00153
17173,"Mapplethorpe, Robert",Bob Love,"Photograph, gelatine silver print on paper",1979,0.34,0.341,Male,1946,2008,http://www.tate.org.uk/art/artworks/mapplethorpe-bob-love-ar00160
17174,"Mapplethorpe, Robert",Bob Love,"Photograph, gelatin silver print on paper",1979,0.508,0.406,Male,1946,2011,http://www.tate.org.uk/art/artworks/mapplethorpe-bob-love-ar01140
17175,"Mapplethorpe, Robert",Brian Ridley and Lyle Heeter,"Photograph, gelatine silver print on paper",1979,0.341,0.341,Male,1946,2009,http://www.tate.org.uk/art/artworks/mapplethorpe-brian-ridley-and-lyle-heeter-ar00196
17176,"Mapplethorpe, Robert",Alan Lynes,"Photograph, gelatine silver print on paper",1979,0.341,0.341,Male,1946,2009,http://www.tate.org.uk/art/artworks/mapplethorpe-alan-lynes-ar00197
17177,"Mapplethorpe, Robert",Dominick and Elliot,"Photograph, gelatine silver print on paper",1979,0.34,0.341,Male,1946,2009,http://www.tate.org.uk/art/artworks/mapplethorpe-dominick-and-elliot-ar00199
17178,"Mapplethorpe, Robert",Bruce Chatwin,"Photograph, gelatin silver print on paper",1979,0.508,0.406,Male,1946,2011,http://www.tate.org.uk/art/artworks/mapplethorpe-bruce-chatwin-ar01139
17179,"Mapplethorpe, Robert",Patti Smith,"Photograph, gelatine silver print on paper",1979,0.34,0.342,Male,1946,2009,http://www.tate.org.uk/art/artworks/mapplethorpe-patti-smith-ar00495
17180,"Warhol, Andy",Andy Warhol's Exposures,Lithograph on paper,1979,0.587,0.7,Male,1928,2009,http://www.tate.org.uk/art/artworks/warhol-andy-warhols-exposures-ar00340
17181,"Katz, Alex",West Window,Oil paint on hardboard,1979,0.196,0.238,Male,1927,2008,http://www.tate.org.uk/art/artworks/katz-west-window-ar00003
