index,url,name,appearances,current,sex,join_date,join_year,years,status,death ,return,Notes
139,http://marvel.wikia.com/Shiro_Yoshida_(Earth-616)#,Shiro Yoshida,176,YES,male,13-May,2013,10,full,death,return,Died in Uncanny_Avengers_Vol_1_22. Returned when 'he was able to use his power to transform his body into a state of pure energy '
140,http://marvel.wikia.com/Ex_Nihilo_(Earth-616)#,,24,YES,male,13-Oct,2013,10,full,death,no_return,Died in New_Avengers_Vol_3_32
141,http://marvel.wikia.com/Abyss_(Ex_Nihilo%27s)_(Earth-616)#,,25,YES,female,13-Oct,2013,10,full,death,no_return,Died in New_Avengers_Vol_3_32
142,http://marvel.wikia.com/Nightmask_(Earth-616)#,Adam,35,YES,male,13-Oct,2013,10,full,death,no_return,Died in New_Avengers_Vol_3_32
143,http://marvel.wikia.com/Kevin_Connor_(Earth-616)#,Kevin Kale Connor,44,YES,male,13-Oct,2013,10,full,death,no_return,Died in New_Avengers_Vol_3_32
144,http://marvel.wikia.com/Sam_Alexander_(Earth-616)#,Sam Alexander,78,YES,male,15-Feb,2015,8,honorary,no_death,no_return,NA
145,http://marvel.wikia.com/America_Chavez_(Earth-616)#,America Chavez,22,YES,female,13-Jul,2013,10,full,no_death,no_return,NA
146,http://marvel.wikia.com/Loki_Laufeyson_(Ikol)_(Earth-616)#,Loki Laufeyson,77,NO,male,13-Jul,2013,10,full,no_death,no_return,NA
147,http://marvel.wikia.com/David_Alleyne_(Earth-616)#,David Alleyne,115,YES,male,13-Sep,2013,10,full,no_death,no_return,NA
148,"http://marvel.wikia.com/Nicholas_Fury,_Jr._(Earth-616)#","Nicholas Fury, Jr., Marcus Johnson",77,YES,male,13-Apr,2013,10,full,no_death,no_return,NA
149,http://marvel.wikia.com/Phillip_Coulson_(Earth-616)#,Phillip Coulson,69,YES,male,13-Apr,2013,10,full,no_death,no_return,NA
150,http://marvel.wikia.com/Tony_Masters_(Earth-616)#,Tony Masters,173,NO,male,13-May,2013,10,full,no_death,no_return,NA
151,http://marvel.wikia.com/Victor_Mancha_(Earth-616)#,Victor Mancha,75,YES,male,13-Sep,2013,10,full,death,return,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9. 
152,http://marvel.wikia.com/Monica_Chang_(Earth-616)#,Monica Chang,12,YES,female,13-Sep,2013,10,full,no_death,no_return,NA
153,http://marvel.wikia.com/Doombot_(Avenger)_(Earth-616)#,,14,YES,male,13-Sep,2013,10,full,no_death,no_return,NA
154,http://marvel.wikia.com/Alexis_(Earth-616)#,Alexis,13,YES,female,13-Nov,2013,10,full,no_death,no_return,NA
155,http://marvel.wikia.com/Eric_Brooks_(Earth-616)#,Eric Brooks,198,YES,male,13-Nov,2013,10,full,no_death,no_return,NA
156,http://marvel.wikia.com/Adam_Brashear_(Earth-616)#,Adam Brashear,29,YES,male,14-Jan,2014,9,full,no_death,no_return,NA
157,http://marvel.wikia.com/Victor_Alvarez_(Earth-616)#,Victor Alvarez,45,YES,male,14-Jan,2014,9,full,no_death,no_return,NA
158,http://marvel.wikia.com/Ava_Ayala_(Earth-616)#,Ava Ayala,49,YES,female,14-Jan,2014,9,full,no_death,no_return,NA
159,http://marvel.wikia.com/Kaluu_(Earth-616)#,Kaluu,35,YES,male,15-Jan,2015,8,full,no_death,no_return,NA
